"","gene","beta","sd","pval","pval_anova","cov","varexp","singular","beta_norm"
"Abhd5","Abhd5",1.21594925493488,0.319122741093579,0.00109589892885617,0.00109589892885617,0.101839323883079,0,TRUE,0.0155022787593553
"Abi1","Abi1",6.50756103240303,2.63434659490505,0.0226220134757066,0.0226220134757066,6.93978198208785,0,TRUE,0.0351744236622995
"Abi2","Abi2",2.37845295037991,0.43446381590097,2.33279017938476e-05,2.33279017938476e-05,0.188758807327232,0,TRUE,0.0198240132532539
"Abra","Abra",0.317559148764516,0.104058175624472,0.0408904235201566,0.0408904235201566,0.0108281039142935,0.579976249899345,FALSE,0.0121624153885751
"Abracl","Abracl",2.85310875095864,0.730869021881537,0.000881077264573539,0.000881077264573539,0.534169527146074,0,TRUE,0.0215885980490937
"AC149090.1","AC149090.1",11.2385104394698,2.56584848737164,0.000289391538771683,0.000289391538771683,6.58357846014735,0,TRUE,0.0527622449496814
"AC159819.1","AC159819.1",-0.0327248448796868,0.0149177094894312,0.0402423341206107,0.0402423341206107,0.000222538056411066,0,TRUE,0.0108601963729074
"AC169509.1","AC169509.1",0.0968517308484198,0.0333902728269666,0.00884222704678806,0.00884222704678806,0.00111491031945926,0,TRUE,0.0113419114497022
"Acaa2","Acaa2",-4.19708429963253,1.41137119461957,0.00750590535327918,0.00750590535327918,1.99196864900188,0,TRUE,-0.00462126486555081
"Acad10","Acad10",-0.4929802997226,0.201967953347113,0.0240779673087679,0.0240779673087679,0.0407910541792217,0,TRUE,0.00914914643560971
"Acmsd","Acmsd",0.0993892475543423,0.0310661020125205,0.00450358055256586,0.00450358055256586,0.000965102694252329,0,TRUE,0.0113513449452856
"Acot3","Acot3",0.0593688418575108,0.0240048079115474,0.0224814170307646,0.0224814170307646,0.00057623080287029,0,TRUE,0.0112025647147904
"Acp5","Acp5",-11.1444333895293,4.43425763554931,0.0206403500012967,0.0206403500012967,19.6626407784274,0,TRUE,-0.0304487941203855
"Acss3","Acss3",0.0940898614427185,0.0234438182599552,0.000681792048685381,0.000681792048685381,0.000549612614605808,0,TRUE,0.0113316438984463
"Actb-ps1","Actb-ps1",0.0395714511225228,0.0161600052954501,0.0236810834571291,0.0236810834571291,0.000261145771148974,0,TRUE,0.0111289657518245
"Adam17","Adam17",5.42303105345284,1.85984367818476,0.00854596413518607,0.00854596413518607,3.45901850728382,0,TRUE,0.0311425649782704
"Adam1b","Adam1b",0.0619229290935323,0.0259271562082377,0.0269004425770459,0.0269004425770459,0.00067221742904636,0,TRUE,0.01121205981313
"Adam23","Adam23",0.0881569107051342,0.031093006107927,0.0102261835856409,0.0102261835856409,0.000966775028827585,0,TRUE,0.0113095875058913
"Adam3","Adam3",0.0549854147874042,0.0194870528193517,0.0105399090730759,0.0105399090730759,0.000379745227584203,0,TRUE,0.0111862688457585
"Adam32","Adam32",0.0548547436824677,0.0224894031645534,0.0241671722763659,0.0241671722763659,0.000505773254697823,0,TRUE,0.0111857830616495
